F	I	Q
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
5.35	-0.023737602955332112	-0.015965128388998568
